A„O;SEMANA;CANTIDAD;;;;;;;
2019;1;60;;;;;;;
2019;2;41;;;;;;;
2019;3;435;;;;;;;
2019;4;435;;;;;;;
2019;5;882;;;;;;;
2019;6;469;;;;;;;
2019;7;464;;;;;;;
2019;8;468;;;;;;;
2019;9;940;;;;;;;
2019;10;481;;;;;;;
2019;11;483;;;;;;;
2019;12;363;;;;;;;
2019;13;58;;;;;;;
2019;14;398;;;;;;;
2019;15;407;;;;;;;
2019;16;69;;;;;;;
2019;17;449;;;;;;;
2019;18;482;;;;;;;
2019;19;443;;;;;;;
2019;20;439;;;;;;;
2019;21;452;;;;;;;
2019;22;866;;;;;;;
2019;23;47;;;;;;;
2019;24;428;;;;;;;
2019;25;424;;;;;;;
2019;26;47;;;;;;;
2019;27;47;;;;;;;
2019;28;427;;;;;;;
2019;29;48;;;;;;;
2019;30;159;;;;;;;
2019;31;532;;;;;;;
2019;32;49;;;;;;;
2019;33;433;;;;;;;
2019;34;48;;;;;;;
2019;35;936;;;;;;;
2019;36;478;;;;;;;
2019;37;477;;;;;;;
2019;38;476;;;;;;;
2019;39;474;;;;;;;
2019;40;926;;;;;;;
2019;41;421;;;;;;;
2019;42;46;;;;;;;
2019;43;431;;;;;;;
2019;44;856;;;;;;;
2019;45;45;;;;;;;
2019;46;45;;;;;;;
2019;47;424;;;;;;;
2019;48;848;;;;;;;
2019;49;409;;;;;;;
2019;50;421;;;;;;;
2019;51;449;;;;;;;
2019;52;50;;;;;;;
2019;53;127;;;;;;;
