HERIDOS;ANYO;SEMANA;FESTIVOS;SEMANA_SANTA;COLOMBIAMODA;FERIA_FLORES;ENERO_1;PUENTE_REYES;DIC_31;DIC_24
56;1;1;1;0;0;0;1;0;0;0
29;1;1;1;0;0;0;0;1;0;0
222;1;1;0;0;0;0;0;0;0;0
342;1;2;0;0;0;0;0;0;0;0
391;1;3;0;0;0;0;0;0;0;0
421;1;4;0;0;0;0;0;0;0;0
407;1;5;0;0;0;0;0;0;0;0
447;1;6;0;0;0;0;0;0;0;0
462;1;7;0;0;0;0;0;0;0;0
456;1;8;0;0;0;0;0;0;0;0
459;1;9;0;0;0;0;0;0;0;0
488;1;10;0;0;0;0;0;0;0;0
528;1;11;0;0;0;0;0;0;0;0
424;1;12;0;0;0;0;0;0;0;0
72;1;12;1;0;0;0;0;0;0;0
494;1;13;0;0;0;0;0;0;0;0
517;1;14;0;0;0;0;0;0;0;0
427;1;15;0;0;0;0;0;0;0;0
59;1;15;1;0;0;0;0;0;0;0
198;1;16;0;0;0;0;0;0;0;0
27;1;16;0;1;0;0;0;0;0;0
121;1;16;1;1;0;0;0;0;0;0
460;1;17;0;0;0;0;0;0;0;0
410;1;18;0;0;0;0;0;0;0;0
49;1;18;1;0;0;0;0;0;0;0
475;1;19;0;0;0;0;0;0;0;0
457;1;20;0;0;0;0;0;0;0;0
482;1;21;0;0;0;0;0;0;0;0
420;1;22;0;0;0;0;0;0;0;0
52;1;22;1;0;0;0;0;0;0;0
513;1;23;0;0;0;0;0;0;0;0
493;1;24;0;0;0;0;0;0;0;0
410;1;25;0;0;0;0;0;0;0;0
42;1;25;1;0;0;0;0;0;0;0
378;1;26;0;0;0;0;0;0;0;0
45;1;26;1;0;0;0;0;0;0;0
491;1;27;0;0;0;0;0;0;0;0
448;1;28;0;0;0;0;0;0;0;0
360;1;29;0;0;0;0;0;0;0;0
66;1;29;0;0;1;0;0;0;0;0
58;1;29;1;0;0;0;0;0;0;0
147;1;30;0;0;1;0;0;0;0;0
311;1;30;0;0;0;0;0;0;0;0
152;1;31;0;0;0;0;0;0;0;0
366;1;31;0;0;0;1;0;0;0;0
288;1;32;0;0;0;1;0;0;0;0
131;1;32;0;0;0;0;0;0;0;0
49;1;32;1;0;0;1;0;0;0;0
409;1;33;0;0;0;0;0;0;0;0
50;1;33;1;0;0;0;0;0;0;0
483;1;34;0;0;0;0;0;0;0;0
426;1;35;0;0;0;0;0;0;0;0
457;1;36;0;0;0;0;0;0;0;0
506;1;37;0;0;0;0;0;0;0;0
494;1;38;0;0;0;0;0;0;0;0
488;1;39;0;0;0;0;0;0;0;0
454;1;40;0;0;0;0;0;0;0;0
330;1;41;0;0;0;0;0;0;0;0
43;1;41;1;0;0;0;0;0;0;0
458;1;42;0;0;0;0;0;0;0;0
463;1;43;0;0;0;0;0;0;0;0
362;1;44;0;0;0;0;0;0;0;0
50;1;44;1;0;0;0;0;0;0;0
463;1;45;0;0;0;0;0;0;0;0
373;1;46;0;0;0;0;0;0;0;0
54;1;46;1;0;0;0;0;0;0;0
457;1;47;0;0;0;0;0;0;0;0
451;1;48;0;0;0;0;0;0;0;0
418;1;49;0;0;0;0;0;0;0;0
55;1;49;1;0;0;0;0;0;0;0
435;1;50;0;0;0;0;0;0;0;0
460;1;51;0;0;0;0;0;0;0;0
62;1;52;0;0;0;0;0;0;0;1
294;1;52;0;0;0;0;0;0;0;0
60;1;52;1;0;0;0;0;0;0;0
44;1;53;0;0;0;0;0;0;1;0
63;2;1;1;0;0;0;1;0;0;0
274;2;1;0;0;0;0;0;0;0;0
357;2;2;0;0;0;0;0;0;0;0
45;2;2;1;0;0;0;0;1;0;0
443;2;3;0;0;0;0;0;0;0;0
437;2;4;0;0;0;0;0;0;0;0
439;2;5;0;0;0;0;0;0;0;0
507;2;6;0;0;0;0;0;0;0;0
458;2;7;0;0;0;0;0;0;0;0
471;2;8;0;0;0;0;0;0;0;0
520;2;9;0;0;0;0;0;0;0;0
500;2;10;0;0;0;0;0;0;0;0
481;2;11;0;0;0;0;0;0;0;0
409;2;12;0;0;0;0;0;0;0;0
50;2;12;1;0;0;0;0;0;0;0
399;2;13;0;0;0;0;0;0;0;0
49;2;13;1;0;0;0;0;0;0;0
103;2;14;1;1;0;0;0;0;0;0
44;2;14;0;1;0;0;0;0;0;0
198;2;14;0;0;0;0;0;0;0;0
471;2;15;0;0;0;0;0;0;0;0
467;2;16;0;0;0;0;0;0;0;0
491;2;17;0;0;0;0;0;0;0;0
418;2;18;0;0;0;0;0;0;0;0
51;2;18;1;0;0;0;0;0;0;0
511;2;19;0;0;0;0;0;0;0;0
397;2;20;0;0;0;0;0;0;0;0
55;2;20;1;0;0;0;0;0;0;0
482;2;21;0;0;0;0;0;0;0;0
483;2;22;0;0;0;0;0;0;0;0
427;2;23;0;0;0;0;0;0;0;0
44;2;23;1;0;0;0;0;0;0;0
324;2;24;0;0;0;0;0;0;0;0
47;2;24;1;0;0;0;0;0;0;0
425;2;25;0;0;0;0;0;0;0;0
336;2;26;0;0;0;0;0;0;0;0
51;2;26;1;0;0;0;0;0;0;0
473;2;27;0;0;0;0;0;0;0;0
517;2;28;0;0;0;0;0;0;0;0
397;2;29;0;0;0;0;0;0;0;0
43;2;29;1;0;0;0;0;0;0;0
302;2;30;0;0;0;0;0;0;0;0
153;2;30;0;0;1;0;0;0;0;0
71;2;31;0;0;1;0;0;0;0;0
399;2;31;0;0;0;1;0;0;0;0
252;2;32;0;0;0;1;0;0;0;0
189;2;32;0;0;0;0;0;0;0;0
472;2;33;0;0;0;0;0;0;0;0
52;2;33;1;0;0;0;0;0;0;0
475;2;34;0;0;0;0;0;0;0;0
534;2;35;0;0;0;0;0;0;0;0
475;2;36;0;0;0;0;0;0;0;0
525;2;37;0;0;0;0;0;0;0;0
499;2;38;0;0;0;0;0;0;0;0
476;2;39;0;0;0;0;0;0;0;0
468;2;40;0;0;0;0;0;0;0;0
410;2;41;0;0;0;0;0;0;0;0
51;2;41;1;0;0;0;0;0;0;0
512;2;42;0;0;0;0;0;0;0;0
396;2;43;0;0;0;0;0;0;0;0
407;2;44;0;0;0;0;0;0;0;0
45;2;44;1;0;0;0;0;0;0;0
449;2;45;0;0;0;0;0;0;0;0
361;2;46;0;0;0;0;0;0;0;0
43;2;46;1;0;0;0;0;0;0;0
481;2;47;0;0;0;0;0;0;0;0
466;2;48;0;0;0;0;0;0;0;0
403;2;49;0;0;0;0;0;0;0;0
64;2;49;1;0;0;0;0;0;0;0
489;2;50;0;0;0;0;0;0;0;0
469;2;51;0;0;0;0;0;0;0;0
77;2;52;0;0;0;0;0;0;0;1
249;2;52;0;0;0;0;0;0;0;0
46;2;52;1;0;0;0;0;0;0;0
46;2;53;0;0;0;0;0;0;1;0
50;3;1;1;0;0;0;1;0;0;0
305;3;1;0;0;0;0;0;0;0;0
322;3;2;0;0;0;0;0;0;0;0
37;3;2;1;0;0;0;0;1;0;0
473;3;3;0;0;0;0;0;0;0;0
434;3;4;0;0;0;0;0;0;0;0
492;3;5;0;0;0;0;0;0;0;0
545;3;6;0;0;0;0;0;0;0;0
462;3;7;0;0;0;0;0;0;0;0
489;3;8;0;0;0;0;0;0;0;0
460;3;9;0;0;0;0;0;0;0;0
490;3;10;0;0;0;0;0;0;0;0
533;3;11;0;0;0;0;0;0;0;0
303;3;12;0;0;0;0;0;0;0;0
114;3;12;1;0;0;0;0;0;0;0
33;3;12;1;1;0;0;0;0;0;0
64;3;13;1;1;0;0;0;0;0;0
54;3;13;0;1;0;0;0;0;0;0
298;3;13;0;0;0;0;0;0;0;0
435;3;14;0;0;0;0;0;0;0;0
513;3;15;0;0;0;0;0;0;0;0
511;3;16;0;0;0;0;0;0;0;0
467;3;17;0;0;0;0;0;0;0;0
428;3;18;0;0;0;0;0;0;0;0
53;3;18;1;0;0;0;0;0;0;0
423;3;19;0;0;0;0;0;0;0;0
52;3;19;1;0;0;0;0;0;0;0
497;3;20;0;0;0;0;0;0;0;0
486;3;21;0;0;0;0;0;0;0;0
355;3;22;0;0;0;0;0;0;0;0
34;3;22;1;0;0;0;0;0;0;0
360;3;23;0;0;0;0;0;0;0;0
38;3;23;1;0;0;0;0;0;0;0
497;3;24;0;0;0;0;0;0;0;0
534;3;25;0;0;0;0;0;0;0;0
409;3;26;0;0;0;0;0;0;0;0
398;3;27;0;0;0;0;0;0;0;0
47;3;27;1;0;0;0;0;0;0;0
498;3;28;0;0;0;0;0;0;0;0
437;3;29;0;0;0;0;0;0;0;0
56;3;29;1;0;0;0;0;0;0;0
246;3;30;0;0;0;0;0;0;0;0
250;3;30;0;0;1;0;0;0;0;0
535;3;31;0;0;0;1;0;0;0;0
171;3;32;0;0;0;1;0;0;0;0
313;3;32;0;0;0;0;0;0;0;0
52;3;32;1;0;0;1;0;0;0;0
436;3;33;0;0;0;0;0;0;0;0
32;3;33;1;0;0;0;0;0;0;0
520;3;34;0;0;0;0;0;0;0;0
472;3;35;0;0;0;0;0;0;0;0
505;3;36;0;0;0;0;0;0;0;0
495;3;37;0;0;0;0;0;0;0;0
535;3;38;0;0;0;0;0;0;0;0
526;3;39;0;0;0;0;0;0;0;0
491;3;40;0;0;0;0;0;0;0;0
515;3;41;0;0;0;0;0;0;0;0
408;3;42;0;0;0;0;0;0;0;0
54;3;42;1;0;0;0;0;0;0;0
500;3;43;0;0;0;0;0;0;0;0
521;3;44;0;0;0;0;0;0;0;0
387;3;45;0;0;0;0;0;0;0;0
49;3;45;1;0;0;0;0;0;0;0
447;3;46;0;0;0;0;0;0;0;0
41;3;46;1;0;0;0;0;0;0;0
477;3;47;0;0;0;0;0;0;0;0
439;3;48;0;0;0;0;0;0;0;0
338;3;49;0;0;0;0;0;0;0;0
42;3;49;1;0;0;0;0;0;0;0
390;3;50;0;0;0;0;0;0;0;0
502;3;51;0;0;0;0;0;0;0;0
275;3;52;0;0;0;0;0;0;0;0
65;3;52;0;0;0;0;0;0;0;1
50;3;52;1;0;0;0;0;0;0;0
69;3;53;0;0;0;0;0;0;0;0
67;3;53;0;0;0;0;0;0;1;0
357;4;27;0;0;0;0;0;0;0;0
44;4;27;1;0;0;0;0;0;0;0
439;4;19;0;0;0;0;0;0;0;0
385;4;26;0;0;0;0;0;0;0;0
479;4;23;0;0;0;0;0;0;0;0
125;4;30;0;0;0;0;0;0;0;0
129;4;30;0;0;0;1;0;0;0;0
235;4;30;0;0;1;0;0;0;0;0
462;4;28;0;0;0;0;0;0;0;0
455;4;24;0;0;0;0;0;0;0;0
414;4;22;0;0;0;0;0;0;0;0
59;4;22;1;0;0;0;0;0;0;0
386;4;16;0;0;0;0;0;0;0;0
35;4;16;1;1;0;0;0;0;0;0
396;4;18;0;0;0;0;0;0;0;0
57;4;18;1;0;0;0;0;0;0;0
385;4;29;0;0;0;0;0;0;0;0
37;4;29;1;0;0;0;0;0;0;0
359;4;25;0;0;0;0;0;0;0;0
47;4;25;1;0;0;0;0;0;0;0
495;4;17;0;0;0;0;0;0;0;0
493;4;13;0;0;0;0;0;0;0;0
475;4;14;0;0;0;0;0;0;0;0
176;4;15;0;0;0;0;0;0;0;0
46;4;15;0;1;0;0;0;0;0;0
67;4;15;1;1;0;0;0;0;0;0
53;4;15;1;0;0;0;0;0;0;0
462;4;20;0;0;0;0;0;0;0;0
476;4;21;0;0;0;0;0;0;0;0
543;4;31;0;0;0;1;0;0;0;0
538;4;8;0;0;0;0;0;0;0;0
468;4;5;0;0;0;0;0;0;0;0
510;4;6;0;0;0;0;0;0;0;0
427;4;7;0;0;0;0;0;0;0;0
449;4;9;0;0;0;0;0;0;0;0
