MUERTES;ANYO;SEMANA;FESTIVOS;SEMANA_SANTA;COLOMBIAMODA;FERIA_FLORES;ENERO_1;PUENTE_REYES;DIC_31;DIC_24
0;1;1;1;0;0;0;1;0;0;0
2;1;1;1;0;0;0;0;1;0;0
5;1;1;0;0;0;0;0;0;0;0
8;1;2;0;0;0;0;0;0;0;0
8;1;3;0;0;0;0;0;0;0;0
6;1;4;0;0;0;0;0;0;0;0
5;1;5;0;0;0;0;0;0;0;0
7;1;6;0;0;0;0;0;0;0;0
1;1;7;0;0;0;0;0;0;0;0
8;1;8;0;0;0;0;0;0;0;0
1;1;9;0;0;0;0;0;0;0;0
8;1;10;0;0;0;0;0;0;0;0
6;1;11;0;0;0;0;0;0;0;0
3;1;12;0;0;0;0;0;0;0;0
0;1;12;1;0;0;0;0;0;0;0
8;1;13;0;0;0;0;0;0;0;0
3;1;14;0;0;0;0;0;0;0;0
3;1;15;0;0;0;0;0;0;0;0
0;1;15;1;0;0;0;0;0;0;0
6;1;16;0;0;0;0;0;0;0;0
0;1;16;0;1;0;0;0;0;0;0
0;1;16;1;1;0;0;0;0;0;0
8;1;17;0;0;0;0;0;0;0;0
2;1;18;0;0;0;0;0;0;0;0
0;1;18;1;0;0;0;0;0;0;0
3;1;19;0;0;0;0;0;0;0;0
3;1;20;0;0;0;0;0;0;0;0
3;1;21;0;0;0;0;0;0;0;0
4;1;22;0;0;0;0;0;0;0;0
0;1;22;1;0;0;0;0;0;0;0
4;1;23;0;0;0;0;0;0;0;0
3;1;24;0;0;0;0;0;0;0;0
3;1;25;0;0;0;0;0;0;0;0
1;1;25;1;0;0;0;0;0;0;0
6;1;26;0;0;0;0;0;0;0;0
1;1;26;1;0;0;0;0;0;0;0
6;1;27;0;0;0;0;0;0;0;0
6;1;28;0;0;0;0;0;0;0;0
4;1;29;0;0;0;0;0;0;0;0
1;1;29;0;0;1;0;0;0;0;0
0;1;29;1;0;0;0;0;0;0;0
3;1;30;0;0;1;0;0;0;0;0
4;1;30;0;0;0;0;0;0;0;0
2;1;31;0;0;0;0;0;0;0;0
4;1;31;0;0;0;1;0;0;0;0
6;1;32;0;0;0;1;0;0;0;0
2;1;32;0;0;0;0;0;0;0;0
0;1;32;1;0;0;1;0;0;0;0
5;1;33;0;0;0;0;0;0;0;0
1;1;33;1;0;0;0;0;0;0;0
7;1;34;0;0;0;0;0;0;0;0
4;1;35;0;0;0;0;0;0;0;0
6;1;36;0;0;0;0;0;0;0;0
1;1;37;0;0;0;0;0;0;0;0
9;1;38;0;0;0;0;0;0;0;0
3;1;39;0;0;0;0;0;0;0;0
3;1;40;0;0;0;0;0;0;0;0
2;1;41;0;0;0;0;0;0;0;0
1;1;41;1;0;0;0;0;0;0;0
6;1;42;0;0;0;0;0;0;0;0
2;1;43;0;0;0;0;0;0;0;0
2;1;44;0;0;0;0;0;0;0;0
1;1;44;1;0;0;0;0;0;0;0
4;1;45;0;0;0;0;0;0;0;0
4;1;46;0;0;0;0;0;0;0;0
0;1;46;1;0;0;0;0;0;0;0
7;1;47;0;0;0;0;0;0;0;0
4;1;48;0;0;0;0;0;0;0;0
3;1;49;0;0;0;0;0;0;0;0
0;1;49;1;0;0;0;0;0;0;0
5;1;50;0;0;0;0;0;0;0;0
4;1;51;0;0;0;0;0;0;0;0
2;1;52;0;0;0;0;0;0;0;1
4;1;52;0;0;0;0;0;0;0;0
0;1;52;1;0;0;0;0;0;0;0
0;1;53;0;0;0;0;0;0;1;0
0;2;1;1;0;0;0;1;0;0;0
3;2;1;0;0;0;0;0;0;0;0
2;2;2;0;0;0;0;0;0;0;0
1;2;2;1;0;0;0;0;1;0;0
7;2;3;0;0;0;0;0;0;0;0
8;2;4;0;0;0;0;0;0;0;0
2;2;5;0;0;0;0;0;0;0;0
2;2;6;0;0;0;0;0;0;0;0
4;2;7;0;0;0;0;0;0;0;0
6;2;8;0;0;0;0;0;0;0;0
3;2;9;0;0;0;0;0;0;0;0
3;2;10;0;0;0;0;0;0;0;0
7;2;11;0;0;0;0;0;0;0;0
3;2;12;0;0;0;0;0;0;0;0
0;2;12;1;0;0;0;0;0;0;0
4;2;13;0;0;0;0;0;0;0;0
0;2;13;1;0;0;0;0;0;0;0
0;2;14;1;1;0;0;0;0;0;0
0;2;14;0;1;0;0;0;0;0;0
4;2;14;0;0;0;0;0;0;0;0
2;2;15;0;0;0;0;0;0;0;0
8;2;16;0;0;0;0;0;0;0;0
5;2;17;0;0;0;0;0;0;0;0
3;2;18;0;0;0;0;0;0;0;0
