SEMANA;ENERO_1;PUENTE_REYES;SEMANA_SANTA;COLOMBIAMODA;FERIA_FLORES;DIC_24;DIC_31;FESTIVOS;pred_randomForest
1;1;0;0;0;0;0;0;1;17
2;0;1;0;0;0;0;0;1;15
3;0;0;0;0;0;0;0;0;351
4;0;0;0;0;0;0;0;0;356
5;0;0;0;0;0;0;0;0;361
5;0;0;0;0;0;0;0;0;361
6;0;0;0;0;0;0;0;0;373
7;0;0;0;0;0;0;0;0;384
8;0;0;0;0;0;0;0;0;372
9;0;0;0;0;0;0;0;0;373
9;0;0;0;0;0;0;0;0;373
10;0;0;0;0;0;0;0;0;375
11;0;0;0;0;0;0;0;0;377
12;0;0;0;0;0;0;0;0;325
13;0;0;0;0;0;0;0;1;27
14;0;0;0;0;0;0;0;0;346
15;0;0;0;0;0;0;0;0;346
16;0;0;1;0;0;0;0;1;40
17;0;0;0;0;0;0;0;0;378
18;0;0;0;0;0;0;0;0;344
18;0;0;0;0;0;0;0;1;29
19;0;0;0;0;0;0;0;0;379
20;0;0;0;0;0;0;0;0;370
21;0;0;0;0;0;0;0;0;369
22;0;0;0;0;0;0;0;0;347
22;0;0;0;0;0;0;0;0;347
23;0;0;0;0;0;0;0;1;25
24;0;0;0;0;0;0;0;0;351
25;0;0;0;0;0;0;0;0;345
26;0;0;0;0;0;0;0;1;24
27;0;0;0;0;0;0;0;1;23
28;0;0;0;0;0;0;0;0;358
29;0;0;0;0;0;0;0;1;30
30;0;0;0;1;0;0;0;0;137
31;0;0;0;0;0;0;0;0;217
31;0;0;0;0;0;0;0;0;217
32;0;0;0;0;1;0;0;1;34
33;0;0;0;0;0;0;0;0;366
34;0;0;0;0;0;0;0;1;25
35;0;0;0;0;0;0;0;0;367
35;0;0;0;0;0;0;0;0;367
36;0;0;0;0;0;0;0;0;383
37;0;0;0;0;0;0;0;0;390
38;0;0;0;0;0;0;0;0;392
39;0;0;0;0;0;0;0;0;381
40;0;0;0;0;0;0;0;0;391
40;0;0;0;0;0;0;0;0;391
41;0;0;0;0;0;0;0;0;361
42;0;0;0;0;0;0;0;1;25
43;0;0;0;0;0;0;0;0;378
44;0;0;0;0;0;0;0;0;378
44;0;0;0;0;0;0;0;0;378
45;0;0;0;0;0;0;0;1;26
46;0;0;0;0;0;0;0;1;26
47;0;0;0;0;0;0;0;0;384
48;0;0;0;0;0;0;0;0;377
48;0;0;0;0;0;0;0;0;377
49;0;0;0;0;0;0;0;0;374
50;0;0;0;0;0;0;0;0;408
51;0;0;0;0;0;0;0;0;427
52;0;0;0;0;0;1;0;1;22
53;0;0;0;0;0;0;1;0;37
