SOLO_DANOS;ANYO;SEMANA;FESTIVOS;SEMANA_SANTA;COLOMBIAMODA;FERIA_FLORES;ENERO_1;PUENTE_REYES;DIC_31;DIC_24
18;1;1;1;0;0;0;1;0;0;0
16;1;1;1;0;0;0;0;1;0;0
180;1;1;0;0;0;0;0;0;0;0
294;1;2;0;0;0;0;0;0;0;0
347;1;3;0;0;0;0;0;0;0;0
378;1;4;0;0;0;0;0;0;0;0
357;1;5;0;0;0;0;0;0;0;0
409;1;6;0;0;0;0;0;0;0;0
391;1;7;0;0;0;0;0;0;0;0
351;1;8;0;0;0;0;0;0;0;0
419;1;9;0;0;0;0;0;0;0;0
399;1;10;0;0;0;0;0;0;0;0
424;1;11;0;0;0;0;0;0;0;0
346;1;12;0;0;0;0;0;0;0;0
24;1;12;1;0;0;0;0;0;0;0
392;1;13;0;0;0;0;0;0;0;0
399;1;14;0;0;0;0;0;0;0;0
373;1;15;0;0;0;0;0;0;0;0
30;1;15;1;0;0;0;0;0;0;0
137;1;16;0;0;0;0;0;0;0;0
27;1;16;0;1;0;0;0;0;0;0
65;1;16;1;1;0;0;0;0;0;0
400;1;17;0;0;0;0;0;0;0;0
319;1;18;0;0;0;0;0;0;0;0
37;1;18;1;0;0;0;0;0;0;0
382;1;19;0;0;0;0;0;0;0;0
392;1;20;0;0;0;0;0;0;0;0
385;1;21;0;0;0;0;0;0;0;0
340;1;22;0;0;0;0;0;0;0;0
18;1;22;1;0;0;0;0;0;0;0
382;1;23;0;0;0;0;0;0;0;0
346;1;24;0;0;0;0;0;0;0;0
298;1;25;0;0;0;0;0;0;0;0
16;1;25;1;0;0;0;0;0;0;0
332;1;26;0;0;0;0;0;0;0;0
31;1;26;1;0;0;0;0;0;0;0
385;1;27;0;0;0;0;0;0;0;0
336;1;28;0;0;0;0;0;0;0;0
261;1;29;0;0;0;0;0;0;0;0
58;1;29;0;0;1;0;0;0;0;0
24;1;29;1;0;0;0;0;0;0;0
103;1;30;0;0;1;0;0;0;0;0
282;1;30;0;0;0;0;0;0;0;0
99;1;31;0;0;0;0;0;0;0;0
272;1;31;0;0;0;1;0;0;0;0
239;1;32;0;0;0;1;0;0;0;0
97;1;32;0;0;0;0;0;0;0;0
29;1;32;1;0;0;1;0;0;0;0
319;1;33;0;0;0;0;0;0;0;0
13;1;33;1;0;0;0;0;0;0;0
346;1;34;0;0;0;0;0;0;0;0
346;1;35;0;0;0;0;0;0;0;0
347;1;36;0;0;0;0;0;0;0;0
390;1;37;0;0;0;0;0;0;0;0
393;1;38;0;0;0;0;0;0;0;0
336;1;39;0;0;0;0;0;0;0;0
360;1;40;0;0;0;0;0;0;0;0
312;1;41;0;0;0;0;0;0;0;0
26;1;41;1;0;0;0;0;0;0;0
303;1;42;0;0;0;0;0;0;0;0
364;1;43;0;0;0;0;0;0;0;0
342;1;44;0;0;0;0;0;0;0;0
19;1;44;1;0;0;0;0;0;0;0
360;1;45;0;0;0;0;0;0;0;0
318;1;46;0;0;0;0;0;0;0;0
24;1;46;1;0;0;0;0;0;0;0
380;1;47;0;0;0;0;0;0;0;0
399;1;48;0;0;0;0;0;0;0;0
352;1;49;0;0;0;0;0;0;0;0
26;1;49;1;0;0;0;0;0;0;0
373;1;50;0;0;0;0;0;0;0;0
451;1;51;0;0;0;0;0;0;0;0
49;1;52;0;0;0;0;0;0;0;1
218;1;52;0;0;0;0;0;0;0;0
22;1;52;1;0;0;0;0;0;0;0
37;1;53;0;0;0;0;0;0;1;0
6;2;1;1;0;0;0;1;0;0;0
189;2;1;0;0;0;0;0;0;0;0
242;2;2;0;0;0;0;0;0;0;0
13;2;2;1;0;0;0;0;1;0;0
314;2;3;0;0;0;0;0;0;0;0
305;2;4;0;0;0;0;0;0;0;0
337;2;5;0;0;0;0;0;0;0;0
369;2;6;0;0;0;0;0;0;0;0
397;2;7;0;0;0;0;0;0;0;0
353;2;8;0;0;0;0;0;0;0;0
356;2;9;0;0;0;0;0;0;0;0
351;2;10;0;0;0;0;0;0;0;0
366;2;11;0;0;0;0;0;0;0;0
367;2;12;0;0;0;0;0;0;0;0
23;2;12;1;0;0;0;0;0;0;0
320;2;13;0;0;0;0;0;0;0;0
22;2;13;1;0;0;0;0;0;0;0
59;2;14;1;1;0;0;0;0;0;0
29;2;14;0;1;0;0;0;0;0;0
172;2;14;0;0;0;0;0;0;0;0
363;2;15;0;0;0;0;0;0;0;0
387;2;16;0;0;0;0;0;0;0;0
453;2;17;0;0;0;0;0;0;0;0
290;2;18;0;0;0;0;0;0;0;0
35;2;18;1;0;0;0;0;0;0;0
443;2;19;0;0;0;0;0;0;0;0
329;2;20;0;0;0;0;0;0;0;0
26;2;20;1;0;0;0;0;0;0;0
387;2;21;0;0;0;0;0;0;0;0
399;2;22;0;0;0;0;0;0;0;0
311;2;23;0;0;0;0;0;0;0;0
26;2;23;1;0;0;0;0;0;0;0
334;2;24;0;0;0;0;0;0;0;0
28;2;24;1;0;0;0;0;0;0;0
367;2;25;0;0;0;0;0;0;0;0
299;2;26;0;0;0;0;0;0;0;0
17;2;26;1;0;0;0;0;0;0;0
371;2;27;0;0;0;0;0;0;0;0
390;2;28;0;0;0;0;0;0;0;0
329;2;29;0;0;0;0;0;0;0;0
36;2;29;1;0;0;0;0;0;0;0
278;2;30;0;0;0;0;0;0;0;0
132;2;30;0;0;1;0;0;0;0;0
58;2;31;0;0;1;0;0;0;0;0
389;2;31;0;0;0;1;0;0;0;0
202;2;32;0;0;0;1;0;0;0;0
170;2;32;0;0;0;0;0;0;0;0
324;2;33;0;0;0;0;0;0;0;0
26;2;33;1;0;0;0;0;0;0;0
331;2;34;0;0;0;0;0;0;0;0
396;2;35;0;0;0;0;0;0;0;0
405;2;36;0;0;0;0;0;0;0;0
435;2;37;0;0;0;0;0;0;0;0
412;2;38;0;0;0;0;0;0;0;0
387;2;39;0;0;0;0;0;0;0;0
407;2;40;0;0;0;0;0;0;0;0
309;2;41;0;0;0;0;0;0;0;0
20;2;41;1;0;0;0;0;0;0;0
380;2;42;0;0;0;0;0;0;0;0
373;2;43;0;0;0;0;0;0;0;0
340;2;44;0;0;0;0;0;0;0;0
21;2;44;1;0;0;0;0;0;0;0
438;2;45;0;0;0;0;0;0;0;0
330;2;46;0;0;0;0;0;0;0;0
30;2;46;1;0;0;0;0;0;0;0
372;2;47;0;0;0;0;0;0;0;0
388;2;48;0;0;0;0;0;0;0;0
376;2;49;0;0;0;0;0;0;0;0
32;2;49;1;0;0;0;0;0;0;0
431;2;50;0;0;0;0;0;0;0;0
405;2;51;0;0;0;0;0;0;0;0
51;2;52;0;0;0;0;0;0;0;1
213;2;52;0;0;0;0;0;0;0;0
19;2;52;1;0;0;0;0;0;0;0
31;2;53;0;0;0;0;0;0;1;0
19;3;1;1;0;0;0;1;0;0;0
189;3;1;0;0;0;0;0;0;0;0
242;3;2;0;0;0;0;0;0;0;0
15;3;2;1;0;0;0;0;1;0;0
340;3;3;0;0;0;0;0;0;0;0
356;3;4;0;0;0;0;0;0;0;0
371;3;5;0;0;0;0;0;0;0;0
354;3;6;0;0;0;0;0;0;0;0
405;3;7;0;0;0;0;0;0;0;0
344;3;8;0;0;0;0;0;0;0;0
365;3;9;0;0;0;0;0;0;0;0
443;3;10;0;0;0;0;0;0;0;0
426;3;11;0;0;0;0;0;0;0;0
222;3;12;0;0;0;0;0;0;0;0
35;3;12;1;0;0;0;0;0;0;0
16;3;12;1;1;0;0;0;0;0;0
28;3;13;1;1;0;0;0;0;0;0
26;3;13;0;1;0;0;0;0;0;0
221;3;13;0;0;0;0;0;0;0;0
349;3;14;0;0;0;0;0;0;0;0
424;3;15;0;0;0;0;0;0;0;0
392;3;16;0;0;0;0;0;0;0;0
362;3;17;0;0;0;0;0;0;0;0
343;3;18;0;0;0;0;0;0;0;0
37;3;18;1;0;0;0;0;0;0;0
379;3;19;0;0;0;0;0;0;0;0
26;3;19;1;0;0;0;0;0;0;0
409;3;20;0;0;0;0;0;0;0;0
375;3;21;0;0;0;0;0;0;0;0
247;3;22;0;0;0;0;0;0;0;0
22;3;22;1;0;0;0;0;0;0;0
294;3;23;0;0;0;0;0;0;0;0
26;3;23;1;0;0;0;0;0;0;0
370;3;24;0;0;0;0;0;0;0;0
386;3;25;0;0;0;0;0;0;0;0
298;3;26;0;0;0;0;0;0;0;0
269;3;27;0;0;0;0;0;0;0;0
21;3;27;1;0;0;0;0;0;0;0
387;3;28;0;0;0;0;0;0;0;0
338;3;29;0;0;0;0;0;0;0;0
24;3;29;1;0;0;0;0;0;0;0
201;3;30;0;0;0;0;0;0;0;0
192;3;30;0;0;1;0;0;0;0;0
416;3;31;0;0;0;1;0;0;0;0
131;3;32;0;0;0;1;0;0;0;0
240;3;32;0;0;0;0;0;0;0;0
43;3;32;1;0;0;1;0;0;0;0
343;3;33;0;0;0;0;0;0;0;0
23;3;33;1;0;0;0;0;0;0;0
409;3;34;0;0;0;0;0;0;0;0
323;3;35;0;0;0;0;0;0;0;0
409;3;36;0;0;0;0;0;0;0;0
380;3;37;0;0;0;0;0;0;0;0
373;3;38;0;0;0;0;0;0;0;0
375;3;39;0;0;0;0;0;0;0;0
415;3;40;0;0;0;0;0;0;0;0
429;3;41;0;0;0;0;0;0;0;0
340;3;42;0;0;0;0;0;0;0;0
25;3;42;1;0;0;0;0;0;0;0
397;3;43;0;0;0;0;0;0;0;0
416;3;44;0;0;0;0;0;0;0;0
333;3;45;0;0;0;0;0;0;0;0
21;3;45;1;0;0;0;0;0;0;0
314;3;46;0;0;0;0;0;0;0;0
23;3;46;1;0;0;0;0;0;0;0
423;3;47;0;0;0;0;0;0;0;0
371;3;48;0;0;0;0;0;0;0;0
391;3;49;0;0;0;0;0;0;0;0
25;3;49;1;0;0;0;0;0;0;0
426;3;50;0;0;0;0;0;0;0;0
477;3;51;0;0;0;0;0;0;0;0
290;3;52;0;0;0;0;0;0;0;0
30;3;52;0;0;0;0;0;0;0;1
22;3;52;1;0;0;0;0;0;0;0
52;3;53;0;0;0;0;0;0;0;0
17;3;53;0;0;0;0;0;0;1;0
329;4;27;0;0;0;0;0;0;0;0
16;4;27;1;0;0;0;0;0;0;0
391;4;19;0;0;0;0;0;0;0;0
364;4;26;0;0;0;0;0;0;0;0
390;4;23;0;0;0;0;0;0;0;0
84;4;30;0;0;0;0;0;0;0;0
135;4;30;0;0;0;1;0;0;0;0
187;4;30;0;0;1;0;0;0;0;0
368;4;28;0;0;0;0;0;0;0;0
403;4;24;0;0;0;0;0;0;0;0
348;4;22;0;0;0;0;0;0;0;0
27;4;22;1;0;0;0;0;0;0;0
315;4;16;0;0;0;0;0;0;0;0
21;4;16;1;1;0;0;0;0;0;0
379;4;18;0;0;0;0;0;0;0;0
28;4;18;1;0;0;0;0;0;0;0
363;4;29;0;0;0;0;0;0;0;0
34;4;29;1;0;0;0;0;0;0;0
305;4;25;0;0;0;0;0;0;0;0
30;4;25;1;0;0;0;0;0;0;0
428;4;17;0;0;0;0;0;0;0;0
424;4;13;0;0;0;0;0;0;0;0
401;4;14;0;0;0;0;0;0;0;0
214;4;15;0;0;0;0;0;0;0;0
29;4;15;0;1;0;0;0;0;0;0
33;4;15;1;1;0;0;0;0;0;0
15;4;15;1;0;0;0;0;0;0;0
414;4;20;0;0;0;0;0;0;0;0
368;4;21;0;0;0;0;0;0;0;0
449;4;31;0;0;0;1;0;0;0;0
440;4;8;0;0;0;0;0;0;0;0
364;4;5;0;0;0;0;0;0;0;0
396;4;6;0;0;0;0;0;0;0;0
418;4;7;0;0;0;0;0;0;0;0
386;4;9;0;0;0;0;0;0;0;0
393;4;10;0;0;0;0;0;0;0;0
365;4;11;0;0;0;0;0;0;0;0
301;4;12;0;0;0;0;0;0;0;0
17;4;12;1;0;0;0;0;0;0;0
20;4;1;1;0;0;0;1;0;0;0
212;4;1;0;0;0;0;0;0;0;0
263;4;2;0;0;0;0;0;0;0;0
18;4;2;1;0;0;0;0;1;0;0
368;4;3;0;0;0;0;0;0;0;0
401;4;4;0;0;0;0;0;0;0;0
408;4;50;0;0;0;0;0;0;0;0
418;4;48;0;0;0;0;0;0;0;0
465;4;51;0;0;0;0;0;0;0;0
