DIA;PUENTE_REYES;SEMANA_SANTA;COLOMBIAMODA;FESTIVOS;Lunes;Martes;Miercoles;Jueves;Viernes;Sabado;pred_randomForest
1;0;0;0;1;0;1;0;0;0;0;49
2;0;0;0;0;0;0;1;0;0;0;68
3;0;0;0;0;0;0;0;1;0;0;68
4;0;0;0;0;0;0;0;0;1;0;69
5;1;0;0;0;0;0;0;0;0;1;65
6;1;0;0;0;0;0;0;0;0;0;50
7;1;0;0;1;1;0;0;0;0;0;34
8;0;0;0;0;0;1;0;0;0;0;67
9;0;0;0;0;0;0;1;0;0;0;68
10;0;0;0;0;0;0;0;1;0;0;68
11;0;0;0;0;0;0;0;0;1;0;69
12;0;0;0;0;0;0;0;0;0;1;65
13;0;0;0;0;0;0;0;0;0;0;50
14;0;0;0;0;1;0;0;0;0;0;69
15;0;0;0;0;0;1;0;0;0;0;67
16;0;0;0;0;0;0;1;0;0;0;68
17;0;0;0;0;0;0;0;1;0;0;68
18;0;0;0;0;0;0;0;0;1;0;69
19;0;0;0;0;0;0;0;0;0;1;65
20;0;0;0;0;0;0;0;0;0;0;50
21;0;0;0;0;1;0;0;0;0;0;69
22;0;0;0;0;0;1;0;0;0;0;67
23;0;0;0;0;0;0;1;0;0;0;68
24;0;0;0;0;0;0;0;1;0;0;68
25;0;0;0;0;0;0;0;0;1;0;69
26;0;0;0;0;0;0;0;0;0;1;65
27;0;0;0;0;0;0;0;0;0;0;50
28;0;0;0;0;1;0;0;0;0;0;69
29;0;0;0;0;0;1;0;0;0;0;67
30;0;0;0;0;0;0;1;0;0;0;68
31;0;0;0;0;0;0;0;1;0;0;68
32;0;0;0;0;0;0;0;0;1;0;69
33;0;0;0;0;0;0;0;0;0;1;65
34;0;0;0;0;0;0;0;0;0;0;50
35;0;0;0;0;1;0;0;0;0;0;69
36;0;0;0;0;0;1;0;0;0;0;67
37;0;0;0;0;0;0;1;0;0;0;68
38;0;0;0;0;0;0;0;1;0;0;68
39;0;0;0;0;0;0;0;0;1;0;69
40;0;0;0;0;0;0;0;0;0;1;65
41;0;0;0;0;0;0;0;0;0;0;50
42;0;0;0;0;1;0;0;0;0;0;69
43;0;0;0;0;0;1;0;0;0;0;67
44;0;0;0;0;0;0;1;0;0;0;68
45;0;0;0;0;0;0;0;1;0;0;68
46;0;0;0;0;0;0;0;0;1;0;69
47;0;0;0;0;0;0;0;0;0;1;65
48;0;0;0;0;0;0;0;0;0;0;50
49;0;0;0;0;1;0;0;0;0;0;69
50;0;0;0;0;0;1;0;0;0;0;67
51;0;0;0;0;0;0;1;0;0;0;68
52;0;0;0;0;0;0;0;1;0;0;68
53;0;0;0;0;0;0;0;0;1;0;69
54;0;0;0;0;0;0;0;0;0;1;65
55;0;0;0;0;0;0;0;0;0;0;50
56;0;0;0;0;1;0;0;0;0;0;69
57;0;0;0;0;0;1;0;0;0;0;67
58;0;0;0;0;0;0;1;0;0;0;68
59;0;0;0;0;0;0;0;1;0;0;68
