A„O;DIA;CANTIDAD
2019;1;49
2019;2;68
2019;3;68
2019;4;69
2019;5;65
2019;6;50
2019;7;34
2019;8;67
2019;9;68
2019;10;68
2019;11;69
2019;12;65
2019;13;50
2019;14;69
2019;15;67
2019;16;68
2019;17;68
2019;18;69
2019;19;65
2019;20;50
2019;21;69
2019;22;67
2019;23;68
2019;24;68
2019;25;69
2019;26;65
2019;27;50
2019;28;69
2019;29;67
2019;30;68
2019;31;68
2019;32;69
2019;33;65
2019;34;50
2019;35;69
2019;36;67
2019;37;68
2019;38;68
2019;39;69
2019;40;65
2019;41;50
2019;42;69
2019;43;67
2019;44;68
2019;45;68
2019;46;69
2019;47;65
2019;48;50
2019;49;69
2019;50;67
2019;51;68
2019;52;68
2019;53;69
2019;54;65
2019;55;50
2019;56;69
2019;57;67
2019;58;68
2019;59;68
2019;60;69
2019;61;65
2019;62;50
2019;63;69
2019;64;67
2019;65;68
2019;66;68
2019;67;69
2019;68;65
2019;69;50
2019;70;69
2019;71;67
2019;72;68
2019;73;68
2019;74;69
2019;75;65
2019;76;50
2019;77;69
2019;78;67
2019;79;68
2019;80;68
2019;81;69
2019;82;65
2019;83;50
2019;84;48
2019;85;67
2019;86;68
2019;87;68
2019;88;69
2019;89;65
2019;90;50
2019;91;69
2019;92;67
2019;93;68
2019;94;68
2019;95;69
2019;96;65
2019;97;50
2019;98;69
2019;99;67
2019;100;68
2019;101;68
2019;102;69
2019;103;65
2019;104;50
2019;105;69
2019;106;67
2019;107;68
2019;108;39
2019;109;27
2019;110;43
2019;111;49
2019;112;69
2019;113;67
2019;114;68
2019;115;68
2019;116;69
2019;117;65
2019;118;50
2019;119;69
2019;120;67
2019;121;55
2019;122;68
2019;123;69
2019;124;65
2019;125;50
2019;126;69
2019;127;67
2019;128;68
2019;129;68
2019;130;69
2019;131;65
2019;132;50
2019;133;69
2019;134;67
2019;135;68
2019;136;68
2019;137;69
2019;138;65
2019;139;50
2019;140;69
2019;141;67
2019;142;68
2019;143;68
2019;144;69
2019;145;65
2019;146;50
2019;147;69
2019;148;67
2019;149;68
2019;150;68
2019;151;69
2019;152;65
2019;153;50
2019;154;48
2019;155;67
2019;156;68
2019;157;68
2019;158;69
2019;159;65
2019;160;50
2019;161;69
2019;162;67
2019;163;68
2019;164;68
2019;165;69
2019;166;65
2019;167;50
2019;168;69
2019;169;67
2019;170;68
2019;171;68
2019;172;69
2019;173;65
2019;174;50
2019;175;48
2019;176;67
2019;177;68
2019;178;68
2019;179;69
2019;180;65
2019;181;50
2019;182;48
2019;183;67
2019;184;68
2019;185;68
2019;186;69
2019;187;65
2019;188;50
2019;189;69
2019;190;67
2019;191;68
2019;192;68
2019;193;69
2019;194;65
2019;195;50
2019;196;69
2019;197;67
2019;198;68
2019;199;68
2019;200;69
2019;201;41
2019;202;50
2019;203;69
2019;204;74
2019;205;75
2019;206;75
2019;207;69
2019;208;65
2019;209;50
2019;210;69
2019;211;67
2019;212;68
2019;213;68
2019;214;69
2019;215;65
2019;216;50
2019;217;69
2019;218;67
2019;219;55
2019;220;68
2019;221;69
2019;222;65
2019;223;50
2019;224;69
2019;225;67
2019;226;68
2019;227;68
2019;228;69
2019;229;65
2019;230;50
2019;231;48
2019;232;67
2019;233;68
2019;234;68
2019;235;69
2019;236;65
2019;237;50
2019;238;69
2019;239;67
2019;240;68
2019;241;68
2019;242;69
2019;243;65
2019;244;50
2019;245;69
2019;246;67
2019;247;68
2019;248;68
2019;249;69
2019;250;65
2019;251;50
2019;252;69
2019;253;67
2019;254;68
2019;255;68
2019;256;69
2019;257;65
2019;258;50
2019;259;69
2019;260;67
2019;261;68
2019;262;68
2019;263;69
2019;264;65
2019;265;50
2019;266;69
2019;267;67
2019;268;68
2019;269;68
2019;270;69
2019;271;65
2019;272;50
2019;273;69
2019;274;67
2019;275;68
2019;276;68
2019;277;69
2019;278;65
2019;279;50
2019;280;69
2019;281;67
2019;282;68
2019;283;68
2019;284;69
2019;285;65
2019;286;50
2019;287;48
2019;288;67
2019;289;68
2019;290;68
2019;291;69
2019;292;65
2019;293;50
2019;294;69
2019;295;67
2019;296;68
2019;297;68
2019;298;69
2019;299;65
2019;300;50
2019;301;69
2019;302;67
2019;303;68
2019;304;68
2019;305;69
2019;306;65
2019;307;50
2019;308;48
2019;309;67
2019;310;68
2019;311;68
2019;312;69
2019;313;65
2019;314;50
2019;315;48
2019;316;67
2019;317;68
2019;318;68
2019;319;69
2019;320;65
2019;321;50
2019;322;69
2019;323;67
2019;324;68
2019;325;68
2019;326;69
2019;327;65
2019;328;50
2019;329;69
2019;330;67
2019;331;68
2019;332;68
2019;333;69
2019;334;65
2019;335;50
2019;336;69
2019;337;67
2019;338;68
2019;339;68
2019;340;69
2019;341;65
2019;342;50
2019;343;69
2019;344;67
2019;345;68
2019;346;68
2019;347;69
2019;348;65
2019;349;50
2019;350;69
2019;351;67
2019;352;68
2019;353;68
2019;354;69
2019;355;65
2019;356;50
2019;357;69
2019;358;67
2019;359;55
2019;360;68
2019;361;69
2019;362;65
2019;363;50
2019;364;69
2019;365;67
