A„O;DIA;CANTIDAD
2019;1;1
2019;2;1
2019;3;1
2019;4;1
2019;5;1
2019;6;1
2019;7;1
2019;8;1
2019;9;1
2019;10;1
2019;11;1
2019;12;1
2019;13;1
2019;14;1
2019;15;1
2019;16;1
2019;17;1
2019;18;1
2019;19;1
2019;20;1
2019;21;1
2019;22;1
2019;23;1
2019;24;1
2019;25;1
2019;26;1
2019;27;1
2019;28;1
2019;29;1
2019;30;1
2019;31;1
2019;32;1
2019;33;1
2019;34;1
2019;35;1
2019;36;1
2019;37;1
2019;38;1
2019;39;1
2019;40;1
2019;41;1
2019;42;1
2019;43;1
2019;44;1
2019;45;1
2019;46;1
2019;47;1
2019;48;1
2019;49;1
2019;50;1
2019;51;1
2019;52;1
2019;53;1
2019;54;1
2019;55;1
2019;56;1
2019;57;1
2019;58;1
2019;59;1
2019;60;1
2019;61;1
2019;62;1
2019;63;1
2019;64;1
2019;65;1
2019;66;1
2019;67;1
2019;68;1
2019;69;1
2019;70;1
2019;71;1
2019;72;1
2019;73;1
2019;74;1
2019;75;1
2019;76;1
2019;77;1
2019;78;1
2019;79;1
2019;80;1
2019;81;1
2019;82;1
2019;83;1
2019;84;1
2019;85;1
2019;86;1
2019;87;1
2019;88;1
2019;89;1
2019;90;1
2019;91;1
2019;92;1
2019;93;1
2019;94;1
2019;95;1
2019;96;1
2019;97;1
2019;98;1
2019;99;1
2019;100;1
2019;101;1
2019;102;1
2019;103;1
2019;104;1
2019;105;1
2019;106;1
2019;107;1
2019;108;1
2019;109;1
2019;110;1
2019;111;1
2019;112;1
2019;113;1
2019;114;1
2019;115;1
2019;116;1
2019;117;1
2019;118;1
2019;119;1
2019;120;1
2019;121;1
2019;122;1
2019;123;1
2019;124;1
2019;125;1
2019;126;1
2019;127;1
2019;128;1
2019;129;1
2019;130;1
2019;131;1
2019;132;1
2019;133;1
2019;134;1
2019;135;1
2019;136;1
2019;137;1
2019;138;1
2019;139;1
2019;140;1
2019;141;1
2019;142;1
2019;143;1
2019;144;1
2019;145;1
2019;146;1
2019;147;1
2019;148;1
2019;149;1
2019;150;1
2019;151;1
2019;152;1
2019;153;1
2019;154;1
2019;155;1
2019;156;1
2019;157;1
2019;158;1
2019;159;1
2019;160;1
2019;161;1
2019;162;1
2019;163;1
2019;164;1
2019;165;1
2019;166;1
2019;167;1
2019;168;1
2019;169;1
2019;170;1
2019;171;1
2019;172;1
2019;173;1
2019;174;1
2019;175;1
2019;176;1
2019;177;1
2019;178;1
2019;179;1
2019;180;1
2019;181;1
2019;182;1
2019;183;1
2019;184;1
2019;185;1
2019;186;1
2019;187;1
2019;188;1
2019;189;1
2019;190;1
2019;191;1
2019;192;1
2019;193;1
2019;194;1
2019;195;1
2019;196;1
2019;197;1
2019;198;1
2019;199;1
2019;200;1
2019;201;1
2019;202;1
2019;203;1
2019;204;1
2019;205;1
2019;206;1
2019;207;1
2019;208;1
2019;209;1
2019;210;1
2019;211;1
2019;212;1
2019;213;1
2019;214;1
2019;215;1
2019;216;1
2019;217;1
2019;218;1
2019;219;1
2019;220;1
2019;221;1
2019;222;1
2019;223;1
2019;224;1
2019;225;1
2019;226;1
2019;227;1
2019;228;1
2019;229;1
2019;230;1
2019;231;1
2019;232;1
2019;233;1
2019;234;1
2019;235;1
2019;236;1
2019;237;1
2019;238;1
2019;239;1
2019;240;1
2019;241;1
2019;242;1
2019;243;1
2019;244;1
2019;245;1
2019;246;1
2019;247;1
2019;248;1
2019;249;1
2019;250;1
2019;251;1
2019;252;1
2019;253;1
2019;254;1
2019;255;1
2019;256;1
2019;257;1
2019;258;1
2019;259;1
2019;260;1
2019;261;1
2019;262;1
2019;263;1
2019;264;1
2019;265;1
2019;266;1
2019;267;1
2019;268;1
2019;269;1
2019;270;1
2019;271;1
2019;272;1
2019;273;1
2019;274;1
2019;275;1
2019;276;1
2019;277;1
2019;278;1
2019;279;1
2019;280;1
2019;281;1
2019;282;1
2019;283;1
2019;284;1
2019;285;1
2019;286;1
2019;287;1
2019;288;1
2019;289;1
2019;290;1
2019;291;1
2019;292;1
2019;293;1
2019;294;1
2019;295;1
2019;296;1
2019;297;1
2019;298;1
2019;299;1
2019;300;1
2019;301;1
2019;302;1
2019;303;1
2019;304;1
2019;305;1
2019;306;1
2019;307;1
2019;308;1
2019;309;1
2019;310;1
2019;311;1
2019;312;1
2019;313;1
2019;314;1
2019;315;1
2019;316;1
2019;317;1
2019;318;1
2019;319;1
2019;320;1
2019;321;1
2019;322;1
2019;323;1
2019;324;1
2019;325;1
2019;326;1
2019;327;1
2019;328;1
2019;329;1
2019;330;1
2019;331;1
2019;332;1
2019;333;1
2019;334;1
2019;335;1
2019;336;1
2019;337;1
2019;338;1
2019;339;1
2019;340;1
2019;341;1
2019;342;1
2019;343;1
2019;344;1
2019;345;1
2019;346;1
2019;347;1
2019;348;1
2019;349;1
2019;350;1
2019;351;1
2019;352;1
2019;353;1
2019;354;1
2019;355;1
2019;356;1
2019;356;1
2019;356;1
2019;356;2
2019;356;1
2019;356;1
2019;356;1
2019;356;1
2019;356;1
2019;356;1
