DIA;ENERO_1;PUENTE_REYES;SEMANA_SANTA;DIA_MADRES;FERIA_FLORES;DIC_24;DIC_25;DIC_31;FESTIVOS;Martes;Miercoles;Jueves;Viernes;Sabado;Domingo;pred_randomForest
1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;18
2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;58
3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;57
4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;64
5;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;49
6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;27
7;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;15
8;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;61
9;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;58
10;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;57
11;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;64
12;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;54
13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;27
14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60
15;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;61
16;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;58
17;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;57
18;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;64
19;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;54
20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;27
21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60
22;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;61
23;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;58
24;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;57
25;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;64
26;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;54
27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;27
28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60
29;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;61
30;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;58
31;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;57
32;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;64
33;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;54
34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;27
35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60
36;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;61
37;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;58
38;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;57
