A„O;DIA;CANTIDAD
2019;1;18
2019;2;58
2019;3;57
2019;4;64
2019;5;49
2019;6;27
2019;7;15
2019;8;61
2019;9;58
2019;10;57
2019;11;64
2019;12;54
2019;13;27
2019;14;60
2019;15;61
2019;16;58
2019;17;57
2019;18;64
2019;19;54
2019;20;27
2019;21;60
2019;22;61
2019;23;58
2019;24;57
2019;25;64
2019;26;54
2019;27;27
2019;28;60
2019;29;61
2019;30;58
2019;31;57
2019;32;64
2019;33;54
2019;34;27
2019;35;60
2019;36;61
2019;37;58
2019;38;57
2019;39;64
2019;40;54
2019;41;27
2019;42;60
2019;43;61
2019;44;58
2019;45;57
2019;46;64
2019;47;54
2019;48;27
2019;49;60
2019;50;61
2019;51;58
2019;52;57
2019;53;64
2019;54;54
2019;55;27
2019;56;60
2019;57;61
2019;58;58
2019;59;57
2019;60;64
2019;61;54
2019;62;27
2019;63;60
2019;64;61
2019;65;58
2019;66;57
2019;67;64
2019;68;54
2019;69;27
2019;70;60
2019;71;61
2019;72;58
2019;73;57
2019;74;64
2019;75;54
2019;76;27
2019;77;60
2019;78;61
2019;79;58
2019;80;57
2019;81;64
2019;82;54
2019;83;27
2019;84;25
2019;85;61
2019;86;58
2019;87;57
2019;88;64
2019;89;54
2019;90;27
2019;91;60
2019;92;61
2019;93;58
2019;94;57
2019;95;64
2019;96;54
2019;97;27
2019;98;60
2019;99;61
2019;100;58
2019;101;57
2019;102;64
2019;103;54
2019;104;27
2019;105;60
2019;106;61
2019;107;58
2019;108;19
2019;109;16
2019;110;30
2019;111;27
2019;112;60
2019;113;61
2019;114;58
2019;115;57
2019;116;64
2019;117;54
2019;118;27
2019;119;60
2019;120;61
2019;121;24
2019;122;57
2019;123;64
2019;124;54
2019;125;27
2019;126;60
2019;127;61
2019;128;58
2019;129;57
2019;130;64
2019;131;54
2019;132;40
2019;133;60
2019;134;61
2019;135;58
2019;136;57
2019;137;64
2019;138;54
2019;139;27
2019;140;60
2019;141;61
2019;142;58
2019;143;57
2019;144;64
2019;145;54
2019;146;27
2019;147;60
2019;148;61
2019;149;58
2019;150;57
2019;151;64
2019;152;54
2019;153;27
2019;154;25
2019;155;61
2019;156;58
2019;157;57
2019;158;64
2019;159;54
2019;160;27
2019;161;60
2019;162;61
2019;163;58
2019;164;57
2019;165;64
2019;166;54
2019;167;27
2019;168;60
2019;169;61
2019;170;58
2019;171;57
2019;172;64
2019;173;54
2019;174;27
2019;175;25
2019;176;61
2019;177;58
2019;178;57
2019;179;64
2019;180;54
2019;181;27
2019;182;25
2019;183;61
2019;184;58
2019;185;57
2019;186;64
2019;187;54
2019;188;27
2019;189;60
2019;190;61
2019;191;58
2019;192;57
2019;193;64
2019;194;54
2019;195;27
2019;196;60
2019;197;61
2019;198;58
2019;199;57
2019;200;64
2019;201;36
2019;202;27
2019;203;60
2019;204;61
2019;205;58
2019;206;57
2019;207;64
2019;208;54
2019;209;27
2019;210;60
2019;211;61
2019;212;58
2019;213;57
2019;214;68
2019;215;56
2019;216;33
2019;217;66
2019;218;66
2019;219;28
2019;220;64
2019;221;68
2019;222;56
2019;223;33
2019;224;60
2019;225;61
2019;226;58
2019;227;57
2019;228;64
2019;229;54
2019;230;27
2019;231;25
2019;232;61
2019;233;58
2019;234;57
2019;235;64
2019;236;54
2019;237;27
2019;238;60
2019;239;61
2019;240;58
2019;241;57
2019;242;64
2019;243;54
2019;244;27
2019;245;60
2019;246;61
2019;247;58
2019;248;57
2019;249;64
2019;250;54
2019;251;27
2019;252;60
2019;253;61
2019;254;58
2019;255;57
2019;256;64
2019;257;54
2019;258;27
2019;259;60
2019;260;61
2019;261;58
2019;262;57
2019;263;64
2019;264;54
2019;265;27
2019;266;60
2019;267;61
2019;268;58
2019;269;57
2019;270;64
2019;271;54
2019;272;27
2019;273;60
2019;274;61
2019;275;58
2019;276;57
2019;277;64
2019;278;54
2019;279;27
2019;280;60
2019;281;61
2019;282;58
2019;283;57
2019;284;64
2019;285;54
2019;286;27
2019;287;25
2019;288;61
2019;289;58
2019;290;57
2019;291;64
2019;292;54
2019;293;27
2019;294;60
2019;295;61
2019;296;58
2019;297;57
2019;298;64
2019;299;54
2019;300;27
2019;301;60
2019;302;61
2019;303;58
2019;304;57
2019;305;64
2019;306;54
2019;307;27
2019;308;25
2019;309;61
2019;310;58
2019;311;57
2019;312;64
2019;313;54
2019;314;27
2019;315;25
2019;316;61
2019;317;58
2019;318;57
2019;319;64
2019;320;54
2019;321;27
2019;322;60
2019;323;61
2019;324;58
2019;325;57
2019;326;64
2019;327;54
2019;328;27
2019;329;60
2019;330;61
2019;331;58
2019;332;57
2019;333;64
2019;334;54
2019;335;27
2019;336;60
2019;337;61
2019;338;58
2019;339;57
2019;340;64
2019;341;54
2019;342;27
2019;343;60
2019;344;61
2019;345;58
2019;346;57
2019;347;64
2019;348;54
2019;349;27
2019;350;60
2019;351;61
2019;352;58
2019;353;57
2019;354;64
2019;355;54
2019;356;27
2019;357;60
2019;358;60
2019;359;22
2019;360;57
2019;361;64
2019;362;54
2019;363;27
2019;364;60
2019;365;45
