MES;SEMANA;FESTIVOS;pred_randomForest;;;;
1;1;1;51;;;;
1;2;1;45;;;;
1;3;0;438;;;;
1;4;0;431;;;;
1;5;0;205;;;;
2;5;0;235;;;;
2;6;0;477;;;;
2;7;0;461;;;;
2;8;0;468;;;;
2;9;0;223;;;;
3;9;0;237;;;;
3;10;0;484;;;;
3;11;0;486;;;;
3;12;0;343;;;;
3;13;1;66;;;;
4;14;0;399;;;;
4;15;0;414;;;;
4;16;1;77;;;;
4;17;0;458;;;;
4;18;0;134;;;;
5;18;1;50;;;;
5;19;0;445;;;;
5;20;0;438;;;;
5;21;0;468;;;;
5;22;0;221;;;;
6;22;0;200;;;;
6;23;1;46;;;;
6;24;0;429;;;;
6;25;0;431;;;;
6;26;1;47;;;;
7;27;1;46;;;;
7;28;0;449;;;;
7;29;1;48;;;;
7;30;0;462;;;;
7;31;0;182;;;;
8;31;0;319;;;;
8;32;1;50;;;;
8;33;0;442;;;;
8;34;1;49;;;;
8;35;0;355;;;;
9;35;0;471;;;;
9;36;0;481;;;;
9;37;0;479;;;;
9;38;0;480;;;;
9;39;0;475;;;;
9;40;0;466;;;;
10;40;0;443;;;;
10;41;0;414;;;;
10;42;1;46;;;;
10;43;0;436;;;;
10;44;0;223;;;;
11;44;0;222;;;;
11;45;1;43;;;;
11;46;1;45;;;;
11;47;0;432;;;;
11;48;0;303;;;;
12;48;0;157;;;;
12;49;0;373;;;;
12;50;0;424;;;;
12;51;0;448;;;;
12;52;1;51;;;;
12;53;0;70;;;;
