"PERIODO","MES","SEMANA","FESTIVOS","HERIDOS.R"
2014,"1",1,1,85
2014,"1",1,0,222
2014,"1",2,0,342
2014,"1",3,0,391
2014,"1",4,0,421
2014,"1",5,0,174
2014,"2",5,0,233
2014,"2",6,0,447
2014,"2",7,0,462
2014,"2",8,0,456
2014,"2",9,0,201
2014,"3",9,0,258
2014,"3",10,0,488
2014,"3",11,0,528
2014,"3",12,0,424
2014,"3",12,1,72
2014,"3",13,0,412
2014,"4",13,0,82
2014,"4",14,0,517
2014,"4",15,0,427
2014,"4",15,1,59
2014,"4",16,0,225
2014,"4",16,1,121
2014,"4",17,0,460
2014,"4",18,0,72
2014,"5",18,1,49
2014,"5",18,0,338
2014,"5",19,0,475
2014,"5",20,0,457
2014,"5",21,0,482
2014,"5",22,0,276
2014,"6",22,0,144
2014,"6",22,1,52
2014,"6",23,0,513
2014,"6",24,0,493
2014,"6",25,0,410
2014,"6",25,1,42
2014,"6",26,0,312
2014,"6",26,1,45
2014,"7",26,0,66
2014,"7",27,0,491
2014,"7",28,0,448
2014,"7",29,0,426
2014,"7",29,1,58
2014,"7",30,0,458
2014,"7",31,0,152
2014,"8",31,0,366
2014,"8",32,0,419
2014,"8",32,1,49
2014,"8",33,0,409
2014,"8",33,1,50
2014,"8",34,0,483
2014,"8",35,0,314
2014,"9",35,0,469
2014,"9",36,0,457
2014,"9",37,0,506
2014,"9",38,0,494
2014,"9",39,0,488
2014,"10",40,0,454
2014,"10",41,0,330
2014,"10",41,1,43
2014,"10",42,0,458
2014,"10",43,0,463
2014,"10",44,0,181
2014,"11",44,0,181
2014,"11",44,1,50
2014,"11",45,0,463
2014,"11",46,0,373
2014,"11",46,1,54
2014,"11",47,0,457
2014,"11",48,0,323
2014,"12",48,0,128
2014,"12",49,0,418
2014,"12",49,1,55
2014,"12",50,0,435
2014,"12",51,0,460
2014,"12",52,0,356
2014,"12",52,1,60
2014,"12",53,0,44
2015,"1",1,1,63
2015,"1",1,0,274
2015,"1",2,0,357
2015,"1",2,1,45
2015,"1",3,0,443
2015,"1",4,0,437
2015,"1",5,0,169
2015,"2",5,0,270
2015,"2",6,0,507
2015,"2",7,0,458
2015,"2",8,0,471
2015,"2",9,0,216
2015,"3",9,0,304
2015,"3",10,0,500
2015,"3",11,0,481
2015,"3",12,0,409
2015,"3",12,1,50
2015,"3",13,0,326
2015,"3",13,1,49
2015,"4",13,0,73
2015,"4",14,1,103
2015,"4",14,0,242
2015,"4",15,0,471
2015,"4",16,0,467
2015,"4",17,0,491
2015,"4",18,0,68
2015,"5",18,1,51
2015,"5",18,0,350
2015,"5",19,0,511
2015,"5",20,0,397
2015,"5",20,1,55
2015,"5",21,0,482
2015,"5",22,0,253
2015,"6",22,0,230
2015,"6",23,0,427
2015,"6",23,1,44
2015,"6",24,0,324
2015,"6",24,1,47
2015,"6",25,0,425
2015,"6",26,0,279
2015,"6",26,1,51
2015,"7",26,0,57
2015,"7",27,0,473
2015,"7",28,0,517
2015,"7",29,0,397
2015,"7",29,1,43
2015,"7",30,0,455
2015,"7",31,0,133
2015,"8",31,0,337
2015,"8",32,0,441
2015,"8",33,0,472
2015,"8",33,1,52
2015,"8",34,0,475
2015,"8",35,0,394
2015,"9",35,0,469
2015,"9",36,0,475
2015,"9",37,0,525
2015,"9",38,0,499
2015,"9",39,0,476
2015,"10",40,0,468
2015,"10",41,0,410
2015,"10",41,1,51
2015,"10",42,0,512
2015,"10",43,0,396
2015,"10",44,0,225
2015,"11",44,0,182
2015,"11",44,1,45
2015,"11",45,0,449
2015,"11",46,0,361
2015,"11",46,1,43
2015,"11",47,0,481
2015,"11",48,0,318
2015,"12",48,0,148
2015,"12",49,0,403
2015,"12",49,1,64
2015,"12",50,0,489
2015,"12",51,0,469
2015,"12",52,0,326
2015,"12",52,1,46
2015,"12",53,0,46
2016,"1",1,1,50
2016,"1",1,0,305
2016,"1",2,0,322
2016,"1",2,1,37
2016,"1",3,0,473
2016,"1",4,0,434
2016,"1",5,0,178
2016,"2",5,0,314
2016,"2",6,0,545
2016,"2",7,0,462
2016,"2",8,0,489
2016,"2",9,0,266
2016,"3",9,0,194
2016,"3",10,0,490
2016,"3",11,0,533
2016,"3",12,0,303
2016,"3",12,1,147
2016,"3",13,1,64
2016,"3",13,0,352
2016,"4",14,0,435
2016,"4",15,0,513
2016,"4",16,0,511
2016,"4",17,0,467
2016,"4",18,0,153
2016,"5",18,1,53
2016,"5",18,0,275
2016,"5",19,0,423
2016,"5",19,1,52
2016,"5",20,0,497
2016,"5",21,0,486
2016,"5",22,0,221
2016,"5",22,1,34
2016,"6",22,0,134
2016,"6",23,0,360
2016,"6",23,1,38
2016,"6",24,0,497
2016,"6",25,0,534
2016,"6",26,0,409
2016,"7",27,0,398
2016,"7",27,1,47
2016,"7",28,0,498
2016,"7",29,0,437
2016,"7",29,1,56
2016,"7",30,0,496
2016,"7",31,0,201
2016,"8",31,0,334
2016,"8",32,0,484
2016,"8",32,1,52
2016,"8",33,0,436
2016,"8",33,1,32
2016,"8",34,0,520
2016,"8",35,0,393
2016,"9",35,0,469
2016,"9",36,0,505
2016,"9",37,0,495
2016,"9",38,0,535
2016,"9",39,0,526
2016,"9",40,0,469
2016,"10",40,0,420
2016,"10",41,0,515
2016,"10",42,0,408
2016,"10",42,1,54
2016,"10",43,0,500
2016,"10",44,0,279
2016,"11",44,0,242
2016,"11",45,0,387
2016,"11",45,1,49
2016,"11",46,0,447
2016,"11",46,1,41
2016,"11",47,0,477
2016,"11",48,0,390
2016,"12",48,0,49
2016,"12",49,0,338
2016,"12",49,1,42
2016,"12",50,0,390
2016,"12",51,0,502
2016,"12",52,0,340
2016,"12",52,1,50
2016,"12",53,0,136
2017,"7",27,0,357
2017,"7",27,1,44
2017,"7",30,0,489
2017,"7",28,0,462
2017,"7",26,0,61
2017,"7",29,0,385
2017,"7",29,1,37
2017,"7",31,0,111
2017,"5",19,0,439
2017,"5",22,0,223
2017,"5",22,1,59
2017,"5",18,0,361
2017,"5",18,1,57
2017,"5",20,0,462
2017,"5",21,0,476
2017,"6",26,0,324
2017,"6",23,0,479
2017,"6",24,0,455
2017,"6",25,0,359
2017,"6",25,1,47
2017,"6",22,0,191
2017,"4",16,0,386
2017,"4",16,1,35
2017,"4",17,0,495
2017,"4",13,0,85
2017,"4",14,0,475
2017,"4",15,0,222
2017,"4",15,1,120
2017,"4",18,0,35
2017,"2",8,0,538
2017,"2",6,0,510
2017,"2",7,0,427
2017,"2",9,0,197
2017,"2",5,0,294
2017,"3",13,0,408
2017,"3",9,0,252
2017,"3",10,0,502
2017,"3",11,0,449
2017,"3",12,0,349
2017,"3",12,1,50
2017,"1",5,0,174
2017,"1",1,1,53
2017,"1",1,0,300
2017,"1",2,0,337
2017,"1",2,1,31
2017,"1",3,0,488
2017,"1",4,0,428
2017,"8",31,0,432
2017,"8",34,0,372
2017,"8",34,1,55
2017,"8",35,0,347
2017,"8",32,0,409
2017,"8",32,1,58
2017,"8",33,0,479
2017,"12",50,0,394
2017,"12",48,0,128
2017,"12",51,0,458
2017,"12",52,1,47
2017,"12",52,0,348
2017,"12",49,0,359
2017,"12",49,1,49
2017,"12",53,0,50
2017,"11",45,0,363
2017,"11",45,1,42
2017,"11",46,1,44
2017,"11",46,0,410
2017,"11",47,0,396
2017,"11",44,0,275
2017,"11",48,0,322
2017,"10",44,0,187
2017,"10",43,0,450
2017,"10",40,0,456
2017,"10",42,0,370
2017,"10",42,1,49
2017,"10",41,0,400
2017,"9",39,0,473
2017,"9",38,0,461
2017,"9",36,0,518
2017,"9",37,0,465
2017,"9",35,0,469
2018,"1",1,0,297
2018,"1",1,1,43
2018,"1",2,0,287
2018,"1",2,1,26
2018,"1",3,0,436
2018,"1",4,0,409
2018,"1",5,0,149
2018,"2",5,0,222
2018,"2",7,0,467
2018,"2",6,0,409
2018,"2",8,0,407
2018,"2",9,0,158
2018,"3",13,1,64
2018,"3",13,0,228
2018,"3",12,0,327
2018,"3",12,1,80
2018,"3",11,0,452
2018,"3",10,0,451
2018,"3",9,0,251
2018,"4",14,0,419
2018,"4",13,1,37
2018,"4",16,0,410
2018,"4",17,0,423
2018,"4",15,0,434
2018,"4",18,0,52
2018,"5",19,0,418
2018,"5",21,0,448
2018,"5",20,0,320
2018,"5",20,1,44
2018,"5",18,0,339
2018,"5",18,1,36
2018,"5",22,0,265
2018,"7",27,0,327
2018,"7",27,1,47
